text,label
"A great gangster film.Sam Mendes has directed this beautiful movie showing another father-son camaraderie.Brilliant star-cast leading with Tom Hanks(Michael Sullivan) has done a terrific job.Great acting by him again.He is an acting legend.Great acting too from Paul Newman,Jude Law and Daniel Craig.Casting is just too good.The plot is quite good.You will enjoy the movie.A great portrayal of the gangster of the 1930's.Set in the 1930's,this will surely stand out as the zenith of all gangster movies of that era.Soundtrack is pretty good an apt to the movie.A great flick in totality showing what a father does to protect his son.Way underrated for my liking.Deserved a fully deserved 10.",1
"This movie is a blatant attempt by the left in Hollywood to portray Reagan's administration as incompetent and bungling. Some mistakes may have been made at the time of the crisis, but I'm sure not to the extent portrayed in this lame movie. My first reaction was that this movie had to have been directed by Oliver Stone, but I was wrong this time. There are apparently many others.",0
"Full House is a wonderful sitcom that is about a dad, Danny Tanner, whose wife had just died in a car crash. So Danny asks his brother in law, Jesse Katsopolis, and best friend, Joey Gladstone, to help raise his three girls, Donna Jo 'DJ' Tanner, Stephanie Tanner, and Michelle Tanner. This is my favorite show ever, and I can watch it all day long. And something on Full House is always making me laugh and there are sad parts also. There is never a dull moment in Full House. The main characters are played by, Bob Saget(Danny Tanner), John Stamos(Jesse Katsopolis), Dave Coulier(Joey Gladstone), Candace Cameron(DJ Tanner), Jodie Sweetin(Stephanie Tanner), and Mary-Kate & Ashley Olsen(Michelle Tanner).",1
"The first collaboration between Schoedsack & Cooper is a compelling documentary on the migration of the Bakhtiari tribe of Persia. Twice a year, more than 50,000 people and half a million animals cross rivers and mountains to get to pasture. You'll feel like a pampered weakling after watching these people herd their animals through ice cold water and walk barefoot through the snow to cross the mountains while trying to get their animals to walk along steep and narrow mountain paths.",1
"This is a pleasant film, even if the premise is silly. It was sort of a guilty pleasure to watch. Meg Ryan seems to be able to pull off roles in this kind of film (another example is Joe vs. the Volcano). That's what makes her a star, in part. Walter Matthau, of course, had that ability, too, and he really puts himself into the role, making an amusing, good-hearted Einstein. I suppose you could say they're both good at portraying loveable characters, though loveable in different ways (loveable young women vs. loveable curmudgeon).",1
"This movie is horrible! It rivals ""Ishtar"" in the number of embarrassingly bad moments. I would have rated it lower than a 3, save for a couple of funny lines; but, overall, this film was crap! It looked like they made it over a weekend at some bankrupt resort somewhere. Joe Roth should join Elaine May on the directing sidelines forever!",0
"As I was watching this movie I was thinking,OK it'll get good any moment...I was wrong. The real best part of this movie was when it was over. A complete waste of 92 minutes. All seriousness aside the best part was when the Wendigo finally showed up which was at the end and you couldn't really even see him that good. And the tail end was really kind of dumb as well. There was too many sections in the movie where you thought something was going to happen but was a let down. The worse part is there was more talk of the Wendigo then there was Wendigo. For the creature to be so bad,you definitely couldn't tell it by this movie.",0
"When I first saw a small scene of it in some announcements, I thought the show would be entertaining to watch. The little robot guy does look kinda cute. The style of animation does look sort of familiar to some classic shows. Before the show aired, I studied it through some sources. There, I did became slightly dismayed. The three children (Tommy, Gus and Lola) are voiced appropriately but Robotboy is an exception. It would have been a lot nicer if he were to be portrayed by a young lad. One good example is Robot Jones, a robot character from ""Whatever Happened To Robot Jones?"" The show isn't bad really. But the way Robotboy is inappropriately portrayed is my only criticism. Thus, I don't watch it much.",0
"Some of the worst, least natural acting performances I've ever seen. Which is perhaps not surprising given the clunky, lame dialog given to the one note characters. Add to that the cheap production values and you've got a movie that doesn't look like it even belongs on television. One doesn't expect much from a Lifetime movie, especially one this old, but this is nearly unwatchably bad.<br /><br />Plot-wise, it's a dreadful, clichéd romance of a type even Harlequin would consider beneath them. It's possible to guess how the remainder of the movie will go by simply watching the opening couple of scenes. Surprise, the only female character who gets any focus and the mysterious stranger end up falling in love.",0
"Saw it at the Philadelphia Gay and Lesbian Film Fest.<br /><br />What can I say? Against my better judgment, I liked it, but it seemed to me that that acting was a little...weak (mostly I noticed this from the family of the teen boy). I mean, the script wasn't stellar to begin with, but the actors didn't make me believe the relationships.<br /><br />The plot is also predictable.<br /><br />Nonethelss, I liked it. The characters are likable, and the plot is not challenging or upsetting. It's sweet, the characters care about each other, and I don't count it as fifty minutes ill-spent. <br /><br />But I don't recommend it.",0
"This film just goes around in circles, and the viewer does not know where they are. At first I thought..mmmmm, could be kinda cool movie this, but it just drags on and on, and eventually you don't know what's going on. The lead female is a good actress and played her role well, and the psycho fella, is creepy, but after a bit you don't really care what happens, because this film just drags on. Shame really, this could have turned out a lot better.<br /><br />Would say though that the lead female and psycho fella, will have a good career ahead of them , but will they remember this film, for making them known, or for being the film they regret they ever made.",0
"Wow. This is really not that good. <br /><br />I would like to agree with the others in that at least the acting is good... it is, but it is nothing special.<br /><br />The movie is so precictable and i for one am sick of receiving culture info through movies.<br /><br />*/****",0
